insertId,jsonPayload.message,"labels.""compute.googleapis.com/resource_name""",logName,receiveLocation,receiveTimestamp,resource.labels.instance_id,resource.labels.project_id,resource.labels.zone,resource.type,timestamp
l427dgfpzvzv9,"Mar 20 21:16:00 gradeview-vm docker[1678807]: gradeview-api            | ::ffff:172.18.0.4 - - [20/Mar/2025:21:16:00 +0000] ""GET /api/v2/login HTTP/1.0"" 304 -",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-20 21:16:00.482687+00:00
l427dgfpzvzv8,"Mar 20 21:16:00 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [20/Mar/2025:21:16:00 +0000] ""GET /api/v2/login HTTP/1.0"" 304 0 ""https://gradeview.eecs.berkeley.edu/"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-20 21:16:00.481301+00:00
18ogamgfrmz32p,"Mar 20 21:00:22 gradeview-vm docker[1678807]: gradeview-api            | ::ffff:172.18.0.4 - - [20/Mar/2025:21:00:22 +0000] ""GET /api/v2/login HTTP/1.0"" 304 -",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-20 21:00:22.306981+00:00
18ogamgfrmz32o,"Mar 20 21:00:22 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [20/Mar/2025:21:00:22 +0000] ""GET /api/v2/login HTTP/1.0"" 304 0 ""https://gradeview.eecs.berkeley.edu/"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-20 21:00:22.305582+00:00
1u2o4vifq2x2qu,"Mar 20 21:00:12 gradeview-vm docker[1678807]: gradeview-api            | ::ffff:172.18.0.4 - - [20/Mar/2025:21:00:12 +0000] ""GET /api/v2/login HTTP/1.0"" 304 -",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-20 21:00:12.952361+00:00
1u2o4vifq2x2qt,"Mar 20 21:00:12 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [20/Mar/2025:21:00:12 +0000] ""GET /api/v2/login HTTP/1.0"" 304 0 ""https://gradeview.eecs.berkeley.edu/"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-20 21:00:12.951251+00:00
1u2o4vifq2x2ql,"Mar 20 21:00:12 gradeview-vm docker[1678807]: gradeview-api            | ::ffff:172.18.0.4 - - [20/Mar/2025:21:00:12 +0000] ""GET /api/v2/login HTTP/1.0"" 304 -",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-20 21:00:12.803467+00:00
1u2o4vifq2x2qk,"Mar 20 21:00:12 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [20/Mar/2025:21:00:12 +0000] ""GET /api/v2/login HTTP/1.0"" 304 0 ""https://gradeview.eecs.berkeley.edu/login"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-20 21:00:12.802334+00:00
1io0qb0fmp4olh,"Mar 20 05:27:22 gradeview-vm docker[1678807]: gradeview-api            | ::ffff:172.18.0.4 - - [20/Mar/2025:05:27:22 +0000] ""GET /api/v2/login HTTP/1.0"" 200 16",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-20 05:27:22.495358+00:00
1io0qb0fmp4olg,"Mar 20 05:27:22 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [20/Mar/2025:05:27:22 +0000] ""GET /api/v2/login HTTP/1.0"" 200 16 ""https://gradeview.eecs.berkeley.edu/"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-20 05:27:22.494037+00:00
