insertId,jsonPayload.message,"labels.""compute.googleapis.com/resource_name""",logName,receiveLocation,receiveTimestamp,resource.labels.instance_id,resource.labels.project_id,resource.labels.zone,resource.type,timestamp
51yxu4fqjgows,"Mar 20 23:28:44 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [20/Mar/2025:23:28:44 +0000] ""GET /login HTTP/1.0"" 200 927 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 Edg/115.0.1901.203"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-20 23:28:44.323428+00:00
1u2o4vifq2x2qm,"Mar 20 21:00:12 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [20/Mar/2025:21:00:12 +0000] ""GET /login HTTP/1.0"" 200 927 ""https://gradeview.eecs.berkeley.edu/login"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-20 21:00:12.831651+00:00
vea1xrfktdqkm,"Mar 20 00:21:46 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [20/Mar/2025:00:21:46 +0000] ""GET /login HTTP/1.0"" 304 0 ""https://gradeview.eecs.berkeley.edu/conceptmap"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-20 00:21:46.900090+00:00
1ra32sifkhsdnl,"Mar 20 00:20:41 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [20/Mar/2025:00:20:41 +0000] ""GET /login HTTP/1.0"" 200 927 ""https://gradeview.eecs.berkeley.edu/conceptmap"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-20 00:20:41.341115+00:00
1aoheksfkgebp9,"Mar 19 23:35:33 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [19/Mar/2025:23:35:33 +0000] ""GET /login HTTP/1.0"" 304 0 ""https://gradeview.eecs.berkeley.edu/"" ""Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-19 23:35:33.088465+00:00
1u1rgjufk4ezf5,"Mar 19 21:22:00 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [19/Mar/2025:21:22:00 +0000] ""GET /login HTTP/1.0"" 304 0 ""https://gradeview.eecs.berkeley.edu/login"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-19 21:22:00.147676+00:00
1hjw1ebfjv27pq,"Mar 19 21:21:42 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [19/Mar/2025:21:21:42 +0000] ""GET /login HTTP/1.0"" 200 927 ""https://gradeview.eecs.berkeley.edu/"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-19 21:21:42.805053+00:00
nclng4fbvv7tt,"Mar 19 20:12:14 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [19/Mar/2025:20:12:14 +0000] ""GET /login HTTP/1.0"" 200 927 ""https://gradeview.eecs.berkeley.edu/login"" ""Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-19 20:12:14.924701+00:00
gxbgiffimhtlg,"Mar 19 20:12:09 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [19/Mar/2025:20:12:09 +0000] ""GET /login HTTP/1.0"" 200 927 ""https://gradeview.eecs.berkeley.edu/login"" ""Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-19 20:12:09.988981+00:00
1yz0cqfjp88d5,"Mar 19 20:11:54 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [19/Mar/2025:20:11:54 +0000] ""GET /login HTTP/1.0"" 200 927 ""https://gradeview.eecs.berkeley.edu/"" ""Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-19 20:11:54.807578+00:00
1kc8vp4fit7w9u,"Mar 19 20:11:47 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [19/Mar/2025:20:11:47 +0000] ""GET /login HTTP/1.0"" 200 927 ""https://gradeview.eecs.berkeley.edu/"" ""Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Mobile/15E148 Safari/604.1"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-19 20:11:47.539602+00:00
gnsbblfi7pv0k,"Mar 19 17:13:51 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [19/Mar/2025:17:13:51 +0000] ""GET /login HTTP/1.0"" 200 927 ""-"" ""Mozilla/5.0 zgrab/0.x"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-19 17:13:51.442858+00:00
pkrkgnfgkao40,"Mar 19 00:13:37 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [19/Mar/2025:00:13:37 +0000] ""GET /login HTTP/1.0"" 200 927 ""https://34.82.185.108/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-19 00:13:37.175648+00:00
1r9hhhcffeoyxn,"Mar 19 00:11:34 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [19/Mar/2025:00:11:34 +0000] ""GET /login HTTP/1.0"" 304 0 ""-"" ""Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-19 00:11:34.054154+00:00
t77icdfdmb8qp,"Mar 18 04:25:01 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [18/Mar/2025:04:25:01 +0000] ""GET /login HTTP/1.0"" 200 927 ""-"" ""Mozilla/5.0 (Fedora; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-18 04:25:01.693758+00:00
nx7dszfd0uzmm,"Mar 18 03:46:24 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [18/Mar/2025:03:46:24 +0000] ""GET /login HTTP/1.0"" 200 927 ""-"" ""Mozilla/5.0 (Debian; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-18 03:46:24.656490+00:00
f19mnofdacvlo,"Mar 18 03:11:17 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [18/Mar/2025:03:11:17 +0000] ""GET /login HTTP/1.0"" 200 927 ""https://gradeview.eecs.berkeley.edu/login"" ""Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-18 03:11:17.145367+00:00
d3a3ujfcrzni2,"Mar 18 02:44:02 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [18/Mar/2025:02:44:02 +0000] ""GET /login HTTP/1.0"" 304 0 ""https://gradeview.eecs.berkeley.edu/login"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-18 02:44:02.012059+00:00
1sp0xfbfcioup1,"Mar 18 02:43:52 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [18/Mar/2025:02:43:52 +0000] ""GET /login HTTP/1.0"" 200 927 ""https://gradeview.eecs.berkeley.edu/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36 Edg/134.0.0.0"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-18 02:43:53.266372+00:00
1ca2ev5fcnl5on,"Mar 18 00:08:59 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [18/Mar/2025:00:08:59 +0000] ""GET /login HTTP/1.0"" 200 927 ""-"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-18 00:08:59.100184+00:00
j5m8k5fbzm1mg,"Mar 17 22:57:24 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [17/Mar/2025:22:57:24 +0000] ""GET /login HTTP/1.0"" 304 0 ""https://gradeview.eecs.berkeley.edu/"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-17 22:57:25.294200+00:00
vela6yfbo6v7h,"Mar 17 21:16:02 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [17/Mar/2025:21:16:02 +0000] ""GET /login HTTP/1.0"" 200 927 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.19041"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-17 21:16:02.444634+00:00
u0klrhfbhx49i,"Mar 17 21:13:50 gradeview-vm docker[1678807]: gradeview-reverse-proxy  | 172.20.0.1 - - [17/Mar/2025:21:13:50 +0000] ""GET /login HTTP/1.0"" 200 927 ""-"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 17_4_1) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Safari/605.1.15"" ""-""",gradeview-vm,projects/eecs-gradeview/logs/syslog,,,3897469703641304337,eecs-gradeview,us-west1-a,gce_instance,2025-03-17 21:13:50.438255+00:00
